,index,group,id,g1,g11,m,k,c,a,f,b,l,error,winner,log_error,logaf,logbc,logkm
188,142709999,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.4,0.7,0.1,0.01,2897.7305,0,7.971683123387227,-0.5596157879354225,-1.6094379124341003,
189,142087741,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.8,0.1,0.01,2897.7305,0,7.971683123387227,-2.8903717578961645,-1.6094379124341003,
190,142087737,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.8,0.09,0.01,2897.7305,0,7.971683123387227,-2.8903717578961645,-1.7147984280919266,
191,142087765,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.9,0.06,0.01,2897.7305,0,7.971683123387227,-2.9444389791664403,-2.120263536200091,
192,142087761,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.9,0.05,0.01,2897.7305,0,7.971683123387227,-2.9444389791664403,-2.3025850929940455,
193,142087757,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.9,0.04,0.01,2897.7305,0,7.971683123387227,-2.9444389791664403,-2.5257286443082556,
194,142087753,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.9,0.03,0.01,2897.7305,0,7.971683123387227,-2.9444389791664403,-2.8134107167600364,
195,142087321,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.8,0.05,0.01,2897.7305,0,7.971683123387227,-2.0794415416798357,-2.3025850929940455,
196,142087317,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.8,0.04,0.01,2897.7305,0,7.971683123387227,-2.0794415416798357,-2.5257286443082556,
197,142087313,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.8,0.03,0.01,2897.7305,0,7.971683123387227,-2.0794415416798357,-2.8134107167600364,
198,142299056,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.0,0.06,0.01,2897.7305,0,7.971683123387227,-1.6094379124341003,-2.120263536200091,
199,142087453,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.1,0.08,0.01,2897.7305,0,7.971683123387227,-2.3978952727983707,-1.8325814637483102,
200,142087201,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.5,0.05,0.01,2897.7305,0,7.971683123387227,-1.6094379124341003,-2.3025850929940455,
201,142087205,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.5,0.06,0.01,2897.7305,0,7.971683123387227,-1.6094379124341003,-2.120263536200091,
202,142087473,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.2,0.03,0.01,2897.7305,0,7.971683123387227,-2.4849066497880004,-2.8134107167600364,
203,142087477,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.2,0.04,0.01,2897.7305,0,7.971683123387227,-2.4849066497880004,-2.5257286443082556,
204,142087481,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.2,0.05,0.01,2897.7305,0,7.971683123387227,-2.4849066497880004,-2.3025850929940455,
205,142087485,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.2,0.06,0.01,2897.7305,0,7.971683123387227,-2.4849066497880004,-2.120263536200091,
206,142299052,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.0,0.05,0.01,2897.7305,0,7.971683123387227,-1.6094379124341003,-2.3025850929940455,
207,142087449,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.1,0.07,0.01,2897.7305,0,7.971683123387227,-2.3978952727983707,-1.9661128563728327,
208,142299060,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.0,0.07,0.01,2897.7305,0,7.971683123387227,-1.6094379124341003,-1.9661128563728327,
209,142299092,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.1,0.05,0.01,2897.7305,0,7.971683123387227,-1.7047480922384253,-2.3025850929940455,
210,142087433,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.1,0.03,0.01,2897.7305,0,7.971683123387227,-2.3978952727983707,-2.8134107167600364,
211,142087437,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.1,0.04,0.01,2897.7305,0,7.971683123387227,-2.3978952727983707,-2.5257286443082556,
212,142087441,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,1.1,0.05,0.01,2897.7305,0,7.971683123387227,-2.3978952727983707,-2.3025850929940455,
